"Id","SalePrice"
1461,120635.089550799
1462,166995.910188593
1463,188855.105079781
1464,201677.418620883
1465,189999.640753604
1466,173163.069401224
1467,180457.094884628
1468,165157.089730485
1469,193652.261842016
1470,124779.295612087
1471,186561.223776807
1472,97115.1277394416
1473,96876.0575441936
1474,145842.858716828
1475,113126.124049495
1476,365447.9525287
1477,252366.350407034
1478,287337.864806971
1479,287052.575426357
1480,504347.029747811
1481,326997.688158803
1482,209037.146192431
1483,178970.888194403
1484,165128.479697856
1485,181689.747666763
1486,194483.04639627
1487,336608.908424536
1488,238593.812965027
1489,200375.738892594
1490,245106.464466462
1491,194771.67927491
1492,91252.1935390749
1493,187808.204774527
1494,286909.883062423
1495,285839.325024827
1496,241940.116159835
1497,182597.108733673
1498,167538.733464461
1499,163356.354389185
1500,159004.716020504
1501,182801.664557361
1502,145739.523677857
1503,296402.161325712
1504,240441.660832795
1505,227924.958704735
1506,190415.050039717
1507,257389.740264907
1508,204481.395030978
1509,161111.708070813
1510,145357.231451619
1511,147140.846013649
1512,172496.285760935
1513,148531.417177893
1514,160674.342484154
1515,195071.70189489
1516,153377.054915919
1517,172644.80946141
1518,125957.49683119
1519,219498.044072992
1520,129649.401182277
1521,134845.067997573
1522,175934.083272623
1523,116047.405004733
1524,126360.258214935
1525,124385.531762469
1526,112294.024836521
1527,106485.172886267
1528,136126.538577021
1529,150720.973922563
1530,184587.578830441
1531,107656.279933933
1532,92499.2071122233
1533,147980.107697796
1534,120448.149094462
1535,149760.025723277
1536,108399.482055584
1537,55507.096632319
1538,164343.264976136
1539,195879.303530686
1540,95954.9780014615
1541,143322.927744712
1542,140377.788279632
1543,196101.3637122
1544,84413.5722758434
1545,115613.732975985
1546,131753.136334622
1547,129948.532031007
1548,136950.513469137
1549,116954.93630167
1550,133150.582365385
1551,106334.444251158
1552,143223.181971751
1553,147766.306716241
1554,120454.618312162
1555,162496.694444267
1556,87879.4063082716
1557,104171.402208205
1558,101661.123031152
1559,73392.9783507431
1560,126868.990036301
1561,135468.391601859
1562,129121.896126263
1563,123134.338309003
1564,158322.722398389
1565,150222.480630813
1566,246292.850827263
1567,77794.1412675087
1568,236269.067982847
1569,131870.758054919
1570,135440.526434612
1571,112497.656689429
1572,143425.686144501
1573,245677.57616882
1574,121747.838050395
1575,231149.562576883
1576,249417.704530058
1577,184174.385836639
1578,147902.866259786
1579,145529.671844786
1580,192935.686877112
1581,159584.648684452
1582,126468.966013201
1583,308793.908972295
1584,218038.198498969
1585,139599.063042101
1586,66730.760149706
1587,102493.449089794
1588,153261.418571878
1589,98902.3213284177
1590,132162.61047849
1591,92737.1331222958
1592,116870.566911658
1593,125126.018414133
1594,137552.710986097
1595,104274.094931906
1596,220270.400577736
1597,188756.898754609
1598,215508.141993312
1599,167569.706261219
1600,158425.338988515
1601,64710.8668983457
1602,115796.23760437
1603,80530.5383732018
1604,262532.595231885
1605,240183.152307642
1606,166576.562216722
1607,168110.325503832
1608,210774.904769424
1609,183282.00463231
1610,152940.780567086
1611,135179.169505719
1612,171597.854343009
1613,165769.802670289
1614,126811.189232837
1615,90019.0438887745
1616,77323.238059501
1617,93171.8618471863
1618,126459.013020028
1619,145238.607362897
1620,165844.914427576
1621,137592.573476261
1622,141402.510399795
1623,265296.120405342
1624,213705.190806946
1625,119774.533900984
1626,165353.733039635
1627,194224.341159266
1628,285793.17654049
1629,179504.890408478
1630,362953.25528225
1631,223057.692674584
1632,243704.990335075
1633,167993.860159709
1634,186250.974381477
1635,173158.379505587
1636,151270.233263962
1637,204318.708836895
1638,187586.227597893
1639,185373.294363889
1640,252226.576130604
1641,180696.310407355
1642,236863.074593648
1643,221088.093720543
1644,233902.313903794
1645,202066.522316879
1646,159351.165341886
1647,158587.121588407
1648,130133.662897467
1649,138472.018041984
1650,115538.972899452
1651,122280.554389092
1652,97464.3480679554
1653,103056.942144606
1654,143057.455217171
1655,140200.792629293
1656,139342.061401869
1657,145903.911360325
1658,141554.496247324
1659,125437.393338423
1660,155477.123021862
1661,447424.3101034
1662,399963.057745424
1663,375156.182039557
1664,527552.695018776
1665,301908.789515038
1666,330117.205545193
1667,381159.530521893
1668,334597.131446127
1669,299216.03812931
1670,341204.540006319
1671,265159.278725167
1672,448815.819650403
