SalePrice,id
1461,123869.20979697382
1462,160819.06170330945
1463,178337.5000928376
1464,199800.78706207048
1465,198795.3330255446
1466,175162.25651569676
1467,174254.67953257414
1468,165513.85951957712
1469,184237.139349502
1470,118946.87329130869
1471,195127.29758239142
1472,97369.1798120347
1473,99369.17981581234
1474,149889.6018631714
1475,114494.8484941296
1476,355440.28495597857
1477,248339.38992832304
1478,282574.9764357235
1479,264699.90811216686
1480,505882.9024639703
1481,325347.6928477516
1482,208510.47526271705
1483,174239.59876434333
1484,162272.78715449444
1485,180721.8987926145
1486,193982.88221923515
1487,327279.971885378
1488,240784.59271982595
1489,191497.28891340308
1490,229585.6539116884
1491,191933.7408682915
1492,91602.20326244147
1493,173391.94858907958
1494,292484.5766112232
1495,285120.02936941304
1496,233859.10087190478
1497,178017.63210077316
1498,169192.7439263617
1499,160760.57450759516
1500,158624.01282881372
1501,179383.50503347363
1502,146497.03609770394
1503,288384.12784338894
1504,244992.2687997869
1505,227024.45447473763
1506,190235.37400737038
1507,258853.25002907403
1508,198832.55504096817
1509,163583.67387214542
1510,145400.74511365715
1511,150177.0180560124
1512,173209.74952312265
1513,144259.47826897437
1514,153537.6155780198
1515,198565.64175979333
1516,153717.281218699
1517,160326.79808031436
1518,133904.93259872045
1519,212334.6628466943
1520,133298.43755063153
1521,136902.94465481956
1522,180537.66671396454
1523,114409.76588438626
1524,127946.89835485765
1525,125621.35751443988
1526,115386.7843180541
1527,108153.02751481922
1528,139694.2211169359
1529,151134.67174647748
1530,182180.84037342362
1531,108760.8855487091
1532,96134.70148753497
1533,150883.2375522562
1534,121250.74792541281
1535,144907.2578476398
1536,107220.77995201013
1537,51527.918883870356
1538,158896.27650070892
1539,200575.77484389843
1540,88183.91632338842
1541,142223.27225178966
1542,138797.78822108792
1543,199183.97804033296
1544,82437.52418403061
1545,113534.72558858687
1546,131616.90699623522
1547,138757.03178207713
1548,134627.21222175713
1549,118872.46797856138
1550,130352.326611239
1551,105194.05540094872
1552,136196.24291219344
1553,151780.8211383389
1554,121392.35199939802
1555,159329.7475752588
1556,85114.953167434
1557,105592.75976001637
1558,102066.48701797366
1559,74060.04470437068
1560,125210.68045719399
1561,127439.27310934628
1562,126512.83206463871
1563,122742.61729839444
1564,157392.36421624056
1565,143260.7653835641
1566,233491.65693970578
1567,73239.18908382171
1568,234282.53046829908
1569,127363.03335442186
1570,139974.7375655418
1571,119922.06374433392
1572,147183.59960717725
1573,236235.2829805684
